id,id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Elem_School_District,Hightest_Rated_School
0,1,427167,3231 W MARYLAND AVE,85017,Active,6395749,WEST PLAZA 6 LOT 614-787,1958,3,2.0,1302.0,4.1,Alhambra,100.04
1,33,320000,4144 N 29TH DR,85017,Active,6395529,MISSION MANOR 2,1952,4,2.0,1356.0,4.1,Alhambra,100.04
2,176,345000,2921 W HIGHLAND AVE,85017,UCB (Under Contract-Backups),6389042,NORTHWEST VILLAGE 2,1953,4,2.0,1272.0,4.1,Alhambra,100.04
3,204,354000,6019 N 32ND DR,85017,Active,6348070,MARYVALE PARK 5 AMD,1954,3,2.0,1220.0,4.1,Alhambra,100.04
4,242,335000,3318 W SELLS DR,85017,Active,6388293,LYNNHAVEN PLAT 2,1954,3,1.75,1404.0,4.1,Alhambra,100.04
5,271,375000,2816 W MARSHALL AVE,85017,Active,6389562,MARYVALE PARK 2,1953,3,1.5,1689.0,4.1,Alhambra,100.04
6,286,315000,4131 N 30TH AVE,85017,Active,6393555,MISSION MANOR 2,1951,2,1.0,852.0,4.1,Alhambra,100.04
7,317,434900,2938 W SAN JUAN AVE,85017,Active,6394150,"MARYVALE PARK 2 AMD LOTS 243-415, & TR C",1952,4,2.0,1977.0,4.1,Alhambra,100.04
8,319,405000,3131 W MARYLAND AVE,85017,UCB (Under Contract-Backups),6385749,WEST PLAZA 6 LOT 614-787,1958,3,1.75,1636.0,4.1,Alhambra,100.04
9,463,375000,4237 N 31ST DR,85017,UCB (Under Contract-Backups),6381608,JUNE GARDENS,1958,3,1.75,2028.0,4.1,Alhambra,100.04
10,486,354900,3205 W MARIPOSA ST,85017,UCB (Under Contract-Backups),6386713,NORTHWEST VILLAGE 5,1955,3,1.5,1591.0,4.1,Alhambra,100.04
11,573,388000,2808 W LAWRENCE RD,85017,UCB (Under Contract-Backups),6388436,OCOTILLO PARK,1962,3,1.5,1540.0,4.1,Alhambra,100.04
